StockCode,Description,Date,Units_Sold,Revenue,Unit_Price,Year,Month,Quarter,Week,Day,DayOfWeek,Demand_Lag_1,Demand_Lag_2,Rolling_Mean_2,Naive_Forecast
22383,LUNCH BAG SUKI DESIGN ,2011-10-02,152,278.93,1.8863571428571426,2011,10,4,39,2,6,274.0,270.0,256.0,188.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-10-02,7,34.650000000000006,4.95,2011,10,4,39,2,6,88.0,14.0,38.75,7.0
22197,POPCORN HOLDER,2011-10-02,1675,1308.54,1.0534027777777777,2011,10,4,39,2,6,48.0,634.0,313.0,261.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-10-02,349,657.72,2.4223333333333334,2011,10,4,39,2,6,221.0,202.0,183.5,19.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-10-02,378,546.78,1.4344,2011,10,4,39,2,6,501.0,115.0,267.75,646.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-10-02,83,315.65,4.016666666666667,2011,10,4,39,2,6,92.0,34.0,37.0,0.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-10-09,121,463.75000000000006,4.083333333333333,2011,10,4,40,9,6,83.0,92.0,54.75,25.0
22383,LUNCH BAG SUKI DESIGN ,2011-10-09,174,355.78,1.994722222222222,2011,10,4,40,9,6,152.0,274.0,226.5,146.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-10-09,37,183.15,4.95,2011,10,4,40,9,6,7.0,88.0,32.5,8.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-10-09,342,449.28,1.4634305555555553,2011,10,4,40,9,6,378.0,501.0,316.25,85.0
23194,GYMKHANA TREASURE BOOK BOX,2011-10-09,14,33.83,2.8325,2011,10,4,40,9,6,165.0,8.0,49.25,16.0
22197,POPCORN HOLDER,2011-10-09,835,727.5500000000001,1.0707685185185185,2011,10,4,40,9,6,1675.0,48.0,589.25,351.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-10-09,16,33.6,2.1,2011,10,4,40,9,6,27.0,22.0,24.25,12.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-10-09,186,392.73,2.8122222222222226,2011,10,4,40,9,6,349.0,221.0,224.5,0.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-10-09,25,10.5,0.42,2011,10,4,40,9,6,50.0,100.0,50.0,25.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-10-16,74,307.1,4.15,2011,10,4,41,16,6,121.0,83.0,82.5,399.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-10-16,99,442.05000000000007,4.71,2011,10,4,41,16,6,37.0,7.0,36.5,8.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-10-16,33,301.11,9.408666666666665,2011,10,4,41,16,6,0.0,25.0,10.5,63.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-10-16,27,56.70000000000001,2.1,2011,10,4,41,16,6,16.0,27.0,18.25,14.0
82486,WOOD S/3 CABINET ANT WHITE FINISH,2011-10-16,2,17.9,8.95,2011,10,4,41,16,6,33.0,0.0,14.5,67.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-10-16,68,286.34000000000003,4.38,2011,10,4,41,16,6,46.0,8.0,21.75,8.0
22776,SWEETHEART CAKESTAND 3 TIER,2011-10-16,1,9.95,9.95,2011,10,4,41,16,6,16.0,0.0,7.5,11.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-10-16,79,195.07,2.5925000000000002,2011,10,4,41,16,6,186.0,349.0,239.5,151.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-10-16,54,224.10000000000002,4.15,2011,10,4,41,16,6,37.0,8.0,21.25,4.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-10-16,499,587.1800000000001,1.4275555555555555,2011,10,4,41,16,6,342.0,378.0,334.0,0.0
22383,LUNCH BAG SUKI DESIGN ,2011-10-16,182,360.7,2.1270111111111114,2011,10,4,41,16,6,174.0,152.0,217.5,110.0
23194,GYMKHANA TREASURE BOOK BOX,2011-10-16,20,45.0,2.25,2011,10,4,41,16,6,14.0,165.0,50.75,60.0
22197,POPCORN HOLDER,2011-10-16,884,807.13,1.0113392857142858,2011,10,4,41,16,6,835.0,1675.0,798.0,107.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-10-16,16,169.20999999999998,10.617333333333333,2011,10,4,41,16,6,0.0,14.0,9.0,2.0
23194,GYMKHANA TREASURE BOOK BOX,2011-10-23,19,42.75,2.25,2011,10,4,42,23,6,20.0,14.0,51.75,8.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-10-23,14,58.1,4.15,2011,10,4,42,23,6,68.0,46.0,38.75,22.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-10-23,18,37.800000000000004,2.1,2011,10,4,42,23,6,27.0,16.0,23.0,6.0
22383,LUNCH BAG SUKI DESIGN ,2011-10-23,99,202.24,2.2704999999999997,2011,10,4,42,23,6,182.0,174.0,195.5,0.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-10-23,75,31.5,0.42,2011,10,4,42,23,6,0.0,25.0,43.75,0.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-10-23,13,129.35,9.95,2011,10,4,42,23,6,1.0,16.0,7.75,43.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-10-23,13,64.35000000000001,4.95,2011,10,4,42,23,6,99.0,37.0,57.75,17.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-10-23,54,464.1,8.899999999999999,2011,10,4,42,23,6,2.0,33.0,15.0,93.0
22466,FAIRY TALE COTTAGE NIGHT LIGHT,2011-10-23,92,186.7,1.9771999999999998,2011,10,4,42,23,6,39.0,12.0,22.5,528.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-10-23,424,526.98,1.3122619047619046,2011,10,4,42,23,6,499.0,342.0,430.0,328.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-10-23,173,375.94,2.5402857142857145,2011,10,4,42,23,6,79.0,186.0,208.75,59.0
22197,POPCORN HOLDER,2011-10-23,1164,941.93,1.033125,2011,10,4,42,23,6,884.0,835.0,860.5,239.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-10-23,40,170.14000000000001,4.978,2011,10,4,42,23,6,74.0,121.0,92.5,170.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-10-23,14,62.239999999999995,4.495,2011,10,4,42,23,6,54.0,37.0,34.75,13.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-10-30,125,286.65,2.7063888888888887,2011,10,4,43,30,6,173.0,79.0,196.75,314.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-10-30,228,291.05,1.3508333333333333,2011,10,4,43,30,6,424.0,499.0,410.75,97.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-10-30,39,349.04999999999995,8.95,2011,10,4,43,30,6,54.0,2.0,22.25,7.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-10-30,25,56.56,2.5229166666666667,2011,10,4,43,30,6,18.0,27.0,22.0,23.0
22383,LUNCH BAG SUKI DESIGN ,2011-10-30,210,396.15,1.8522777777777775,2011,10,4,43,30,6,99.0,182.0,151.75,140.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-10-30,34,141.10000000000002,4.15,2011,10,4,43,30,6,40.0,74.0,79.5,86.0
22197,POPCORN HOLDER,2011-10-30,2771,2105.65,1.030330687830688,2011,10,4,43,30,6,1164.0,884.0,1139.5,1038.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-10-30,75,31.5,0.42,2011,10,4,43,30,6,75.0,0.0,37.5,1.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-10-30,27,133.65,4.95,2011,10,4,43,30,6,13.0,99.0,39.0,12.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-10-30,104,460.58000000000004,5.3,2011,10,4,43,30,6,14.0,68.0,34.0,4.0
22466,FAIRY TALE COTTAGE NIGHT LIGHT,2011-10-30,18,43.82,3.04,2011,10,4,43,30,6,92.0,39.0,45.5,44.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-10-30,21,87.15,4.15,2011,10,4,43,30,6,14.0,54.0,28.25,4.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-10-30,41,608.1500000000001,13.00861111111111,2011,10,4,43,30,6,13.0,1.0,7.5,24.0
23194,GYMKHANA TREASURE BOOK BOX,2011-10-30,22,49.5,2.25,2011,10,4,43,30,6,19.0,20.0,54.5,9.0
84997D,CHILDRENS CUTLERY POLKADOT PINK,2011-11-06,110,431.84000000000003,4.461666666666667,2011,11,4,44,6,6,87.0,133.0,111.25,46.0
22466,FAIRY TALE COTTAGE NIGHT LIGHT,2011-11-06,58,121.82,2.7493333333333334,2011,11,4,44,6,6,18.0,92.0,40.25,438.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-11-06,169,647.8900000000001,4.319333333333334,2011,11,4,44,6,6,34.0,40.0,67.25,40.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-11-06,67,570.85,8.864666666666666,2011,11,4,44,6,6,39.0,54.0,32.0,0.0
22383,LUNCH BAG SUKI DESIGN ,2011-11-06,228,430.65999999999997,2.3886190476190476,2011,11,4,44,6,6,210.0,99.0,166.25,289.0
23194,GYMKHANA TREASURE BOOK BOX,2011-11-06,180,369.32,2.904583333333333,2011,11,4,44,6,6,22.0,19.0,18.75,0.0
22900,SET 2 TEA TOWELS I LOVE LONDON ,2011-11-06,66,214.5,3.25,2011,11,4,44,6,6,56.0,117.0,62.25,74.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-11-06,847,1020.6,1.3279537037037037,2011,11,4,44,6,6,228.0,424.0,373.25,231.0
23236,STORAGE TIN VINTAGE DOILY ,2011-11-06,44,132.96,3.47,2011,11,4,44,6,6,0.0,37.0,16.0,18.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-11-06,29,120.35000000000001,4.15,2011,11,4,44,6,6,21.0,14.0,31.5,22.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-11-06,103,411.07,4.932777777777778,2011,11,4,44,6,6,104.0,14.0,58.0,35.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-11-06,207,419.51,2.845,2011,11,4,44,6,6,125.0,173.0,140.75,105.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-11-06,27,62.790000000000006,2.551111111111111,2011,11,4,44,6,6,25.0,18.0,21.5,0.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-11-06,30,160.18,6.118,2011,11,4,44,6,6,27.0,13.0,44.0,0.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-11-06,11,109.44999999999999,9.95,2011,11,4,44,6,6,41.0,13.0,17.75,5.0
22197,POPCORN HOLDER,2011-11-06,1155,974.47,0.9552638888888888,2011,11,4,44,6,6,2771.0,1164.0,1413.5,1312.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-11-06,50,21.0,0.42,2011,11,4,44,6,6,75.0,75.0,43.75,0.0
22383,LUNCH BAG SUKI DESIGN ,2011-11-13,219,405.2,2.0217261904761905,2011,11,4,45,13,6,228.0,210.0,179.75,100.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-11-13,52,463.48,9.545555555555554,2011,11,4,45,13,6,67.0,39.0,40.5,51.0
23194,GYMKHANA TREASURE BOOK BOX,2011-11-13,317,634.9,3.0016666666666665,2011,11,4,45,13,6,180.0,22.0,60.25,23.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-11-13,23,251.49,14.834166666666667,2011,11,4,45,13,6,11.0,41.0,16.5,0.0
22900,SET 2 TEA TOWELS I LOVE LONDON ,2011-11-13,179,738.41,4.2652777777777775,2011,11,4,45,13,6,66.0,56.0,67.5,127.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-11-13,25,10.5,0.42,2011,11,4,45,13,6,50.0,75.0,50.0,125.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-11-13,16,74.68,6.22,2011,11,4,45,13,6,169.0,34.0,79.25,34.0
22466,FAIRY TALE COTTAGE NIGHT LIGHT,2011-11-13,30,69.39999999999999,2.6766666666666663,2011,11,4,45,13,6,58.0,18.0,51.75,27.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-11-13,1079,1643.39,1.4704285714285714,2011,11,4,45,13,6,847.0,228.0,499.5,129.0
21232,STRAWBERRY CERAMIC TRINKET POT,2011-11-13,150,255.26,1.7178666666666664,2011,11,4,45,13,6,0.0,201.0,65.75,714.0
84997D,CHILDRENS CUTLERY POLKADOT PINK,2011-11-13,19,82.99000000000001,4.84,2011,11,4,45,13,6,110.0,87.0,92.25,48.0
84997B,CHILDRENS CUTLERY RETROSPOT RED ,2011-11-13,167,643.73,4.5440000000000005,2011,11,4,45,13,6,10.0,121.0,46.25,61.0
23236,DOILEY STORAGE TIN,2011-11-13,6,17.34,2.89,2011,11,4,45,13,6,44.0,0.0,20.25,39.0
23236,STORAGE TIN VINTAGE DOILY ,2011-11-13,47,147.43,3.586,2011,11,4,45,13,6,6.0,44.0,21.75,78.0
22986,WRAP GINGHAM ROSE ,2011-11-13,50,21.0,0.42,2011,11,4,45,13,6,275.0,100.0,125.0,25.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-11-13,181,693.55,4.07,2011,11,4,45,13,6,29.0,21.0,29.5,0.0
22939,ADULT APRON APPLE DELIGHT,2011-11-13,29,143.55,4.95,2011,11,4,45,13,6,12.0,21.0,10.0,2.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-11-13,114,448.44000000000005,4.255833333333334,2011,11,4,45,13,6,103.0,104.0,72.25,0.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-11-13,17,84.15,4.95,2011,11,4,45,13,6,30.0,27.0,42.25,17.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-11-13,13,31.36,2.4383333333333335,2011,11,4,45,13,6,27.0,25.0,24.25,7.0
22197,POPCORN HOLDER,2011-11-13,3900,5394.5199999999995,1.0390694444444444,2011,11,4,45,13,6,1155.0,2771.0,1493.5,370.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-11-13,313,631.99,2.5149166666666667,2011,11,4,45,13,6,207.0,125.0,146.0,182.0
22949,SET OF 36 DOLLY GIRL PAPER DOILIES,2011-11-13,7,10.15,1.45,2011,11,4,45,13,6,12.0,13.0,7.0,5.0
22986,WRAP GINGHAM ROSE ,2011-11-20,25,10.5,0.42,2011,11,4,46,20,6,50.0,275.0,118.75,25.0
22383,LUNCH BAG SUKI DESIGN ,2011-11-20,156,321.92999999999995,2.3541111111111106,2011,11,4,46,20,6,219.0,228.0,189.0,237.0
21232,STRAWBERRY CERAMIC TRINKET POT,2011-11-20,264,365.93,1.6495,2011,11,4,46,20,6,504.0,150.0,213.75,364.0
22939,ADULT APRON APPLE DELIGHT,2011-11-20,10,61.18,7.87,2011,11,4,46,20,6,29.0,12.0,15.75,3.0
22135,MINI LADLE LOVE HEART PINK,2011-11-20,32,21.229999999999997,0.707,2011,11,4,46,20,6,11.0,11.0,12.75,29.0
23194,GYMKHANA TREASURE BOOK BOX,2011-11-20,32,78.99,2.5412500000000002,2011,11,4,46,20,6,317.0,180.0,134.5,0.0
21232,STRAWBERRY CERAMIC TRINKET BOX,2011-11-20,504,534.24,1.06,2011,11,4,46,20,6,150.0,0.0,96.75,413.0
22949,SET OF 36 DOLLY GIRL PAPER DOILIES,2011-11-20,13,18.849999999999998,1.45,2011,11,4,46,20,6,12.0,7.0,11.0,146.0
22900,SET 2 TEA TOWELS I LOVE LONDON ,2011-11-20,66,234.04,3.903666666666666,2011,11,4,46,20,6,179.0,66.0,104.5,80.0
23236,STORAGE TIN VINTAGE DOILY ,2011-11-20,159,451.91,3.581666666666667,2011,11,4,46,20,6,47.0,6.0,24.25,334.0
22949,36 DOILIES DOLLY GIRL,2011-11-20,12,17.4,1.45,2011,11,4,46,20,6,7.0,12.0,8.0,1.0
84946,ANTIQUE SILVER T-LIGHT GLASS,2011-11-20,809,1292.8500000000001,1.5624768518518517,2011,11,4,46,20,6,1079.0,847.0,644.5,160.0
22197,POPCORN HOLDER,2011-11-20,3142,4108.4,1.0257222222222222,2011,11,4,46,20,6,3900.0,1155.0,2247.5,779.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-11-20,62,269.72,4.771,2011,11,4,46,20,6,114.0,103.0,83.75,9.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-11-20,36,149.4,4.15,2011,11,4,46,20,6,181.0,29.0,61.25,17.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-11-20,99,230.52,2.5192857142857146,2011,11,4,46,20,6,313.0,207.0,204.5,89.0
84997A,CHILDRENS CUTLERY POLKADOT GREEN ,2011-11-20,48,211.62,5.392,2011,11,4,46,20,6,160.0,43.0,65.5,47.0
22804,PINK HANGING HEART T-LIGHT HOLDER,2011-11-20,61,196.99,3.107777777777778,2011,11,4,46,20,6,22.0,13.0,19.5,25.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-11-20,62,535.7,8.883333333333333,2011,11,4,46,20,6,52.0,67.0,53.0,16.0
82001S,SILVER RECORD COVER FRAME,2011-11-20,42,167.41,5.9399999999999995,2011,11,4,46,20,6,0.0,173.0,43.25,33.0
21112,SWISS ROLL TOWEL PINK  SPOTS,2011-11-20,5,28.95,5.79,2011,11,4,46,20,6,3.0,4.0,64.25,3.0
84997D,CHILDRENS CUTLERY POLKADOT PINK,2011-11-20,85,363.85,5.470666666666666,2011,11,4,46,20,6,19.0,110.0,87.25,75.0
71459,HANGING JAM JAR T-LIGHT HOLDERS,2011-11-20,384,318.12,1.2666666666666666,2011,11,4,46,20,6,232.0,100.0,120.0,272.0
84997C,CHILDRENS CUTLERY POLKADOT BLUE,2011-11-20,125,498.23,4.524,2011,11,4,46,20,6,16.0,169.0,64.75,159.0
22466,FAIRY TALE COTTAGE NIGHT LIGHT,2011-11-20,269,499.6499999999999,2.7506666666666666,2011,11,4,46,20,6,30.0,58.0,49.5,0.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-11-20,48,255.12,5.793555555555556,2011,11,4,46,20,6,17.0,30.0,21.75,4.0
23131,MISTLETOE HEART WREATH CREAM,2011-11-20,26,107.9,4.15,2011,11,4,46,20,6,19.0,22.0,25.0,1.0
22776,SWEETHEART 3 TIER CAKE STAND ,2011-11-20,26,308.75000000000006,11.618333333333334,2011,11,4,46,20,6,23.0,11.0,22.0,28.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-11-20,16,35.63,2.4383333333333335,2011,11,4,46,20,6,13.0,27.0,20.75,0.0
21899,GARAGE KEY FOB,2011-11-20,19,17.25,0.895,2011,11,4,46,20,6,48.0,7.0,28.0,70.0
84997B,CHILDRENS CUTLERY RETROSPOT RED ,2011-11-20,130,518.98,4.751,2011,11,4,46,20,6,167.0,10.0,79.5,64.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-11-20,25,10.5,0.42,2011,11,4,46,20,6,25.0,50.0,56.25,100.0
22972,CHILDREN'S SPACEBOY MUG,2011-11-20,36,64.32,2.06,2011,11,4,46,20,6,33.0,16.0,23.5,49.0
71477,COLOURED GLASS STAR T-LIGHT HOLDER,2011-11-27,360,1274.8000000000002,4.4677999999999995,2011,11,4,47,27,6,168.0,20.0,113.25,291.0
22972,CHILDREN'S SPACEBOY MUG,2011-11-27,33,72.49,2.1420000000000003,2011,11,4,47,27,6,36.0,33.0,25.25,12.0
23254,CHILDRENS CUTLERY DOLLY GIRL ,2011-11-27,54,232.38,4.6675,2011,11,4,47,27,6,36.0,181.0,66.75,0.0
22939,ADULT APRON APPLE DELIGHT,2011-11-27,5,24.75,4.95,2011,11,4,47,27,6,10.0,29.0,18.0,14.0
21899,GARAGE KEY FOB,2011-11-27,47,35.45,1.1889999999999998,2011,11,4,47,27,6,19.0,48.0,27.5,38.0
23256,CHILDRENS CUTLERY SPACEBOY ,2011-11-27,47,199.19000000000003,4.288,2011,11,4,47,27,6,62.0,114.0,95.75,0.0
23126,FELTCRAFT GIRL AMELIE KIT,2011-11-27,101,506.75,5.911333333333334,2011,11,4,47,27,6,48.0,17.0,30.5,0.0
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2011-11-27,156,464.44000000000005,3.2691269841269843,2011,11,4,47,27,6,193.0,116.0,151.75,190.0
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,2011-11-27,168,552.72,3.29,2011,11,4,47,27,6,20.0,112.0,95.25,354.0
22986,WRAP GINGHAM ROSE ,2011-11-27,50,21.0,0.42,2011,11,4,47,27,6,25.0,50.0,112.5,50.0
22965,3 TRADITIONAl BISCUIT CUTTERS  SET,2011-11-27,129,270.90000000000003,2.1,2011,11,4,47,27,6,16.0,13.0,20.25,18.0
21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2011-11-27,81,197.18,2.913666666666667,2011,11,4,47,27,6,99.0,313.0,186.0,337.0
21175,GIN AND TONIC DIET METAL SIGN,2011-11-27,7,20.259999999999998,3.755,2011,11,4,47,27,6,330.0,342.0,318.25,36.0
21112,SWISS ROLL TOWEL PINK  SPOTS,2011-11-27,55,140.64999999999998,2.75,2011,11,4,47,27,6,5.0,3.0,5.5,9.0
23236,STORAGE TIN VINTAGE DOILY ,2011-11-27,30,98.30000000000001,4.702500000000001,2011,11,4,47,27,6,159.0,47.0,64.0,6.0
22383,LUNCH BAG SUKI DESIGN ,2011-11-27,288,484.98,2.1381666666666668,2011,11,4,47,27,6,156.0,219.0,203.25,251.0
22937,BAKING MOULD CHOCOLATE CUPCAKES,2011-11-27,3,14.879999999999999,4.96,2011,11,4,47,27,6,1.0,0.0,4.25,12.0
71053,WHITE MOROCCAN METAL LANTERN,2011-11-27,31,143.71,5.989999999999999,2011,11,4,47,27,6,2.0,19.0,25.25,128.0
21232,STRAWBERRY CERAMIC TRINKET POT,2011-11-27,225,365.95,1.760888888888889,2011,11,4,47,27,6,0.0,264.0,229.5,0.0
22985,WRAP BILLBOARD FONTS DESIGN,2011-11-27,75,31.5,0.42,2011,11,4,47,27,6,25.0,25.0,43.75,0.0
82600,N0 SINGING METAL SIGN,2011-11-27,9,18.900000000000002,2.1,2011,11,4,47,27,6,0.0,0.0,0.0,42.0
23075,PARLOUR CERAMIC WALL HOOK,2011-11-27,9,37.35,4.15,2011,11,4,47,27,6,39.0,2.0,17.75,4.0
23194,GYMKHANA TREASURE BOOK BOX,2011-11-27,28,76.98,3.2596666666666665,2011,11,4,47,27,6,32.0,317.0,137.75,12.0
82001S,SILVER RECORD COVER FRAME,2011-11-27,2,14.92,7.46,2011,11,4,47,27,6,0.0,42.0,53.75,24.0
22953,BIRTHDAY PARTY CORDON BARRIER TAPE,2011-11-27,3,3.75,1.25,2011,11,4,47,27,6,8.0,1.0,6.0,39.0
23131,MISTLETOE HEART WREATH CREAM,2011-11-27,15,66.39,5.1850000000000005,2011,11,4,47,27,6,26.0,19.0,23.5,9.0
23130,MISTLETOE HEART WREATH GREEN,2011-11-27,35,165.95,5.806,2011,11,4,47,27,6,106.0,50.0,70.0,3.0
22949,SET OF 36 DOLLY GIRL PAPER DOILIES,2011-11-27,7,11.62,1.8175,2011,11,4,47,27,6,13.0,12.0,11.0,12.0
22466,FAIRY TALE COTTAGE NIGHT LIGHT,2011-11-27,34,72.83999999999999,3.04,2011,11,4,47,27,6,269.0,30.0,93.75,25.0
71459,HANGING JAM JAR T-LIGHT HOLDERS,2011-11-27,60,60.72,1.255,2011,11,4,47,27,6,384.0,232.0,203.0,340.0
82486,3 DRAWER ANTIQUE WHITE WOOD CABINET,2011-11-27,71,622.01,10.14111111111111,2011,11,4,47,27,6,62.0,52.0,55.0,49.0
22963,JAM JAR WITH GREEN LID,2011-11-27,21,28.769999999999996,1.396,2011,11,4,47,27,6,7.0,105.0,58.75,170.0
82001S,VINYL RECORD FRAME SILVER,2011-11-27,4,15.0,3.75,2011,11,4,47,27,6,2.0,0.0,11.0,0.0
